Nombre,Género
Alcides Arguedas,Hombre
Matilde Casazola,Mujer
Javier del Granado,Hombre
Alfonso Gumucio Dagron,Hombre
Víctor Montoya,Hombre
Edmundo Paz Soldán,Hombre
Jaime Sáenz,Hombre
José Ignacio de Sanjinés,Hombre
Pedro Shimose,Hombre
Gastón Suárez,Hombre
Franz Tamayo,Hombre
Adela Zamudio,Mujer
Fernando Alegria,Hombre
Isabel Allende,Mujer
Miguel Arteche,Hombre
Sergio Badilla Castillo,Hombre
Pedro Balmaceda,Hombre
Eduardo Barrios,Hombre
Alberto Blest Gana,Hombre
Roberto Bolaño,Hombre
María Luisa Bombal,Mujer
Marta Brunet,Mujer
Francisco Coloane,Hombre
Adolfo Couve,Hombre
Eugenio Cruz Vargas,Hombre
Pedro Nolasco Cruz Vergara,Hombre
José Donoso,Hombre
Ariel Dorfman,Hombre
Joaquín Edwards Bello,Hombre
Jorge Edwards,Hombre
Diamela Eltit,Mujer
Francisco Antonio Encina,Hombre
Alberto Fuguet,Hombre
Olga Grau,Mujer
Óscar Hahn,Hombre
Vicente Huidobro,Hombre
Hermógenes Irisarri,Hombre
Enrique Lafourcade,Hombre
Pedro Lemebel,Hombre
Enrique Lihn,Hombre
Baldomero Lillo,Hombre
Carmen Marai,Mujer
Gabriela Mistral,Mujer
Pablo Neruda,Hombre
Nicanor Parra,Hombre
Violeta Parra,Mujer
Marcela Paz,Mujer
Carlos Pezoa Véliz,Hombre
Salvador Reyes,Hombre
Gonzalo Rojas,Hombre
Manuel Rojas,Hombre
Luis Sepúlveda,Hombre
Marcela Serrano,Mujer
Miguel Serrano,Hombre
Víctor Domingo Silva,Hombre
Antonio Skármeta,Hombre
Mercedes Valdivieso,Mujer
Egon Wolff,Hombre
Héctor Abad Faciolince,Hombre
Manuel Ancízar,Hombre
Gonzalo Arango,Hombre
Helena Araújo,Mujer
Porfirio Barba-Jacob,Hombre
Andrés Caicedo,Hombre
James Cañón,Hombre
Tomás Carrasquilla,Hombre
Germán Castro Caycedo,Hombre
Gabriel García Márquez,Hombre
Adolfo León Gómez,Hombre
León de Greiff,Hombre
Jorge Isaacs,Hombre
Jaime Manrique,Hombre
Santiago Martínez Delgado,Hombre
Álvaro Mutis,Hombre
