Nombre,Género
Sor Juana Inés de la Cruz,mujer
Rubén Darío,hombre
Rómulo Gallegos,hombre
Gabriela Mistral,mujer
Alfonsina Storni,mujer
Pedro Henríquez Ureña,hombre
Alfonso Reyes,hombre
César Vallejo,hombre
Vicente Huidobro,hombre
Miguel Ángel Asturias,hombre
Jorge Luis Borges,hombre
Leopoldo Marechal,hombre
Pablo Neruda,hombre
Alejo Carpentier,hombre
María Luisa Bombal,mujer
Ernesto Sabato,hombre
Nicanor Parra,hombre
José Lezama Lima,hombre
Julia de Burgos,mujer
Octavio Paz,hombre
Julio Cortázar,hombre
Juan Rulfo,hombre
José Donoso,hombre
Gabriel García Márquez,hombre
Carlos Fuentes,hombre
Elena Poniatowska,mujer
Mario Vargas Llosa,hombre
Mario Benedetti,hombre
Eduardo Galeano,hombre
Isabel Allende,mujer
Giannina Braschi,mujer
Abilio Estévez,hombre
Carmen Boullosa,mujer
Alberto Fuguet,hombre
